Local date,Demand
26Nov2022,"614,216"
27Nov2022,"619,836"
28Nov2022,"692,735"
29Nov2022,"703,211"
30Nov2022,"715,620"
01Dec2022,"739,559"
02Dec2022,"728,640"
03Dec2022,"685,401"
04Dec2022,"654,988"
05Dec2022,"702,832"
06Dec2022,"725,348"
07Dec2022,"731,446"
08Dec2022,"743,632"
09Dec2022,"722,803"
10Dec2022,"687,886"
11Dec2022,"677,122"
12Dec2022,"744,037"
13Dec2022,"764,397"
14Dec2022,"762,456"
15Dec2022,"753,428"
16Dec2022,"740,485"
17Dec2022,"704,371"
18Dec2022,"686,012"
19Dec2022,"758,041"
20Dec2022,"739,625"
21Dec2022,"750,039"
22Dec2022,"733,571"
23Dec2022,"691,949"
24Dec2022,"647,661"
25Dec2022,"617,572"
26Dec2022,"652,885"
27Dec2022,"705,628"
28Dec2022,"683,898"
29Dec2022,"720,704"
30Dec2022,"696,270"
31Dec2022,"669,839"
01Jan2023,"622,141"
02Jan2023,"698,409"
03Jan2023,"738,657"
04Jan2023,"728,916"
05Jan2023,"719,092"
06Jan2023,"694,866"
07Jan2023,"661,904"
08Jan2023,"632,497"
09Jan2023,"714,558"
10Jan2023,"720,966"
11Jan2023,"737,852"
12Jan2023,"701,129"
13Jan2023,"704,689"
14Jan2023,"682,880"
15Jan2023,"666,476"
16Jan2023,"707,256"
17Jan2023,"715,846"
18Jan2023,"728,480"
19Jan2023,"734,258"
20Jan2023,"719,452"
21Jan2023,"672,092"
22Jan2023,"658,715"
23Jan2023,"708,837"
24Jan2023,"713,530"
25Jan2023,"708,253"
26Jan2023,"693,116"
27Jan2023,"696,529"
28Jan2023,"642,643"
29Jan2023,"666,125"
30Jan2023,"722,272"
31Jan2023,"716,619"
01Feb2023,"711,044"
02Feb2023,"713,516"
03Feb2023,"702,676"
04Feb2023,"641,042"
05Feb2023,"629,592"
06Feb2023,"683,971"
07Feb2023,"682,499"
08Feb2023,"676,430"
09Feb2023,"671,012"
10Feb2023,"664,119"
11Feb2023,"625,578"
12Feb2023,"607,745"
13Feb2023,"664,722"
14Feb2023,"696,166"
15Feb2023,"703,861"
16Feb2023,"714,890"
