number_of_reviews,count_of_games
1,74
2,95
3,163
4,136
5,168
6,138
7,127
8,142
9,163
10,184
11,140
12,138
13,136
14,124
15,140
16,131
17,100
18,100
19,112
20,100
21,96
22,90
23,87
24,90
25,89
26,92
27,74
28,77
29,70
30,63
31,60
32,68
33,69
34,66
35,34
36,55
37,40
38,47
39,54
40,62
41,42
42,41
43,41
44,43
45,56
46,53
47,34
48,42
49,43
50,33
51,35
52,38
53,35
54,33
55,30
56,20
57,30
58,43
59,38
60,25
61,33
62,31
63,32
64,34
65,34
66,25
67,24
68,25
69,31
70,36
71,15
72,14
73,21
74,21
75,17
76,28
77,24
78,19
79,25
80,23
81,21
82,26
83,19
84,16
85,26
86,24
87,28
88,17
89,13
90,18
91,17
92,21
93,18
94,19
95,22
96,19
97,19
98,15
99,19
100,24
101,14
102,16
103,18
104,9
105,15
106,17
107,20
108,15
109,17
110,12
111,18
112,11
113,14
114,12
115,19
116,21
117,15
118,13
119,17
120,14
121,11
122,13
123,13
124,12
125,12
126,16
127,12
128,10
129,7
130,18
131,8
132,12
133,8
134,17
135,13
136,7
137,9
138,9
139,10
140,14
141,9
142,11
143,10
144,15
145,13
146,11
147,8
148,12
149,14
150,14
151,10
152,7
153,14
154,9
155,11
156,7
157,11
158,15
159,8
160,8
161,10
162,8
163,9
164,11
165,11
166,9
167,10
168,7
169,8
170,11
171,12
172,8
173,8
174,7
175,10
176,9
177,7
178,8
179,4
180,11
181,7
182,10
183,3
184,10
185,7
186,6
187,12
188,13
189,6
190,11
191,7
192,3
193,7
194,10
195,6
196,8
197,5
198,6
199,7
200,8
201,14
202,8
203,5
204,9
205,7
206,3
207,2
208,8
209,6
210,4
211,7
212,6
213,6
214,3
215,8
216,4
217,4
218,9
219,4
220,8
221,7
222,8
223,3
224,5
225,6
226,6
227,6
228,10
229,9
230,10
231,8
232,8
233,7
234,4
235,5
236,5
237,4
238,7
239,5
240,7
241,7
242,3
243,4
244,7
245,7
246,7
247,1
248,4
249,10
250,9
251,2
252,6
253,6
254,6
255,3
256,5
257,2
258,7
259,5
260,3
261,8
262,6
263,6
264,6
265,4
266,6
267,5
268,3
269,3
270,3
271,3
272,6
273,4
274,4
275,6
276,2
277,8
278,8
279,7
280,4
281,3
282,2
283,3
284,1
285,5
286,1
287,2
288,8
289,5
290,5
291,6
292,4
293,5
294,4
295,5
296,5
297,1
298,5
299,6
300,3
301,6
302,5
303,2
304,6
305,3
306,6
307,5
308,8
309,2
310,9
311,3
312,1
313,1
314,3
315,3
316,1
317,4
318,3
319,3
320,1
321,7
322,1
323,2
324,3
325,5
326,5
327,3
328,4
329,1
330,4
331,6
332,4
333,3
334,3
335,5
336,3
337,3
338,2
339,3
340,2
341,5
342,6
343,1
345,1
346,4
348,7
349,3
350,1
351,2
352,1
353,3
354,3
355,5
356,4
358,3
359,7
360,2
361,5
362,4
363,4
364,2
365,1
366,4
367,4
369,6
370,3
371,2
372,2
373,4
374,2
375,4
376,2
377,3
378,4
379,4
380,2
381,2
382,3
383,3
384,3
385,1
386,1
387,2
388,4
389,5
390,2
391,2
392,7
393,1
394,1
395,4
396,3
397,4
398,2
399,6
400,5
402,2
403,4
405,4
406,2
407,5
408,6
409,2
410,3
411,1
412,4
413,2
414,1
415,2
416,1
417,2
418,2
419,3
420,2
421,2
422,2
424,2
425,4
426,3
427,2
428,7
429,2
430,5
431,2
432,1
433,5
434,3
435,1
436,1
437,1
439,1
440,1
443,1
444,2
445,1
446,1
447,2
448,4
449,2
450,2
451,1
452,7
453,1
454,3
455,1
456,1
457,1
458,4
459,2
460,2
461,2
462,2
463,3
464,2
465,2
466,3
467,1
468,3
471,1
472,1
473,3
474,2
475,2
476,1
477,1
478,3
479,1
480,1
481,3
482,4
483,2
484,2
485,1
486,2
487,1
489,3
490,2
492,2
493,4
494,4
495,2
496,2
497,1
498,1
499,2
500,1
501,1
503,2
504,2
505,5
506,1
507,3
508,1
509,2
510,1
511,1
512,2
513,7
514,3
515,2
517,3
518,4
519,6
520,2
521,1
524,3
525,1
526,1
527,2
529,3
530,4
531,4
532,2
533,2
534,3
535,2
536,1
537,1
538,1
539,1
540,1
541,1
543,1
546,2
547,2
548,1
549,2
551,2
552,5
553,3
554,1
555,2
556,2
557,2
558,1
559,1
560,1
561,1
562,2
563,4
564,3
566,2
567,2
568,2
569,3
571,3
572,2
574,1
575,1
576,3
577,1
578,1
579,2
580,4
583,2
584,2
585,1
586,1
587,2
588,1
589,1
590,1
594,1
595,2
596,1
599,3
600,1
601,1
602,1
603,1
604,1
605,1
606,3
607,2
609,2
610,3
611,3
613,2
614,1
615,1
616,2
617,1
618,3
619,1
620,1
621,2
622,1
623,1
624,5
626,2
628,3
629,2
630,2
631,1
633,1
634,2
635,1
637,4
638,1
640,4
641,3
642,1
644,2
645,3
646,2
647,1
648,3
649,1
651,3
652,1
655,2
656,3
657,1
658,1
659,2
661,2
662,2
663,1
665,1
666,1
667,1
668,1
669,1
671,1
672,3
673,1
674,2
675,1
677,1
678,1
679,2
680,2
681,2
682,1
683,1
684,3
686,1
689,1
690,1
691,3
693,2
694,1
695,1
696,1
697,1
698,1
700,1
701,3
702,4
703,2
706,2
707,3
708,1
709,1
710,1
712,1
714,1
715,3
716,4
717,2
718,1
719,3
721,2
722,2
723,1
725,1
726,2
728,1
729,1
731,1
734,1
736,1
737,1
738,3
740,2
741,1
742,2
743,1
746,1
747,2
751,1
752,2
753,1
755,2
756,3
757,2
758,1
759,3
760,1
761,1
762,2
763,1
764,1
765,1
766,1
767,1
769,1
770,3
771,1
772,1
774,5
776,1
777,1
779,3
782,1
784,1
787,1
788,2
789,1
790,1
792,1
794,2
796,1
797,1
798,4
800,1
802,2
804,1
806,1
807,1
810,2
812,2
816,2
817,1
821,3
823,2
824,1
826,1
828,1
829,1
831,1
832,1
833,3
834,1
838,2
839,1
842,2
843,2
844,1
845,2
848,2
849,2
851,1
852,2
853,1
854,1
857,2
858,2
860,1
861,3
862,1
865,1
868,1
869,4
873,1
876,1
881,2
883,2
885,1
886,1
887,1
890,1
892,1
895,2
897,1
899,1
900,1
903,3
904,1
906,2
909,1
910,1
911,1
912,2
914,1
915,3
916,3
917,1
918,2
919,1
920,1
921,1
922,1
924,1
926,1
929,3
930,1
931,1
933,1
934,1
935,1
937,1
938,1
940,2
942,1
944,1
945,1
946,1
949,1
954,1
955,3
957,1
960,1
963,1
965,1
968,2
970,2
971,1
972,1
974,1
975,1
976,1
980,1
983,1
984,1
988,1
990,1
991,1
992,1
993,1
994,3
996,1
997,2
999,2
1000,1
1001,1
1002,1
1003,3
1006,1
1012,2
1016,2
1021,2
1022,2
1024,3
1026,1
1027,1
1028,1
1029,2
1030,1
1031,1
1034,1
1035,1
1036,1
1037,3
1038,2
1041,1
1044,1
1049,1
1050,1
1051,1
1052,1
1053,3
1055,1
1056,1
1058,1
1059,2
1061,1
1062,1
1063,1
1066,1
1068,1
1071,1
1073,3
1075,1
1076,2
1079,1
1083,1
1084,1
1085,1
1088,1
1090,1
1091,1
1092,2
1098,1
1101,1
1103,1
1104,2
1105,1
1106,1
1108,1
1117,2
1119,2
1121,3
1124,1
1129,1
1130,1
1133,1
1135,2
1137,3
1138,2
1140,1
1141,2
1143,2
1144,2
1146,2
1147,1
1149,3
1150,2
1151,1
1152,1
1153,2
1154,1
1155,1
1156,1
1159,1
1164,2
1167,2
1169,1
1176,1
1177,1
1178,1
1181,1
1182,1
1183,1
1189,1
1190,1
1194,1
1196,3
1197,1
1198,1
1202,1
1203,1
1208,1
1210,1
1213,2
1216,1
1219,1
1224,1
1231,1
1234,1
1237,2
1250,4
1263,1
1267,2
1269,1
1270,1
1272,1
1274,2
1277,1
1279,2
1284,2
1285,1
1286,2
1289,1
1290,1
1297,1
1303,2
1309,1
1310,1
1312,1
1314,1
1315,2
1316,1
1317,1
1322,1
1323,1
1326,1
1327,1
1330,2
1334,1
1336,1
1337,1
1341,1
